seurat_cluster,cell_type
0,Glial cell
1,Lymphoid
2,Myeloid
3,Myeloid
4,Myeloid
5,Malignant
6,Malignant
7,Malignant
8,Malignant
9,Malignant
10,Malignant
11,Malignant
12,Neuron
13,Myeloid
14,Myeloid
15,Endothelial
16,Lymphoid
17,Malignant
