seurat_cluster,cell_type
0,Macrophage
1,Macrophage
2,Macrophage
3,Macrophage
4,Monocyte
5,Macrophage
6,Macrophage
7,Macrophage
8,Macrophage
9,Macrophage
10,Cycling myeloid cell
11,Macrophage
12,Macrophage
13,Macrophage
14,pDC
